Iter, Residual
Iter = 0, 0.827133
Iter = 1, 0.0029162
Iter = 2, 0.00164912
Iter = 3, 0.00116347
Iter = 4, 0.000905111
Iter = 5, 0.000745239
Iter = 6, 0.000635576
Iter = 7, 0.00055451
Iter = 8, 0.000491316
Iter = 9, 0.000440151
Iter = 10, 0.000397551
Iter = 11, 0.000361311
Iter = 12, 0.000329954
Iter = 13, 0.000302449
Iter = 14, 0.000278057
Iter = 15, 0.000256235
Iter = 16, 0.000236573
Iter = 17, 0.000218757
Iter = 18, 0.000202539
Iter = 19, 0.000187723
Iter = 20, 0.000174146
Iter = 21, 0.000161675
Iter = 22, 0.000150196
Iter = 23, 0.000139613
Iter = 24, 0.000129841
Iter = 25, 0.000120807
Iter = 26, 0.000112447
Iter = 27, 0.000104703
Iter = 28, 9.75245e-05
Iter = 29, 9.08646e-05
Iter = 30, 8.46821e-05
Iter = 31, 7.89395e-05
Iter = 32, 7.36027e-05
Iter = 33, 6.86407e-05
Iter = 34, 6.40252e-05
Iter = 35, 5.97303e-05
Iter = 36, 5.57323e-05
Iter = 37, 5.20096e-05
Iter = 38, 4.8542e-05
Iter = 39, 4.53112e-05
Iter = 40, 4.23004e-05
Iter = 41, 3.94938e-05
Iter = 42, 3.68771e-05
Iter = 43, 3.4437e-05
Iter = 44, 3.2161e-05
Iter = 45, 3.00379e-05
Iter = 46, 2.8057e-05
Iter = 47, 2.62085e-05
Iter = 48, 2.44834e-05
Iter = 49, 2.28733e-05
Iter = 50, 2.13702e-05
Iter = 51, 1.9967e-05
Iter = 52, 1.86568e-05
Iter = 53, 1.74334e-05
Iter = 54, 1.6291e-05
Iter = 55, 1.5224e-05
Iter = 56, 1.42275e-05
Iter = 57, 1.32967e-05
Iter = 58, 1.24272e-05
Iter = 59, 1.16149e-05
Iter = 60, 1.08561e-05
Iter = 61, 1.01471e-05
Iter = 62, 9.48475e-06
Iter = 63, 8.86582e-06
Iter = 64, 8.28749e-06
Iter = 65, 7.74706e-06
Iter = 66, 7.24203e-06
Iter = 67, 6.77007e-06
Iter = 68, 6.32899e-06
Iter = 69, 5.91677e-06
Iter = 70, 5.53149e-06
Iter = 71, 5.17139e-06
Iter = 72, 4.83481e-06
Iter = 73, 4.52021e-06
Iter = 74, 4.22614e-06
Iter = 75, 3.95126e-06
Iter = 76, 3.69431e-06
Iter = 77, 3.45411e-06
Iter = 78, 3.22957e-06
Iter = 79, 3.01966e-06
