Iter, Residual
Iter = 0, 0.827133
Iter = 1, 0.00546553
Iter = 2, 0.00122369
Iter = 3, 0.000300864
Iter = 4, 0.00010136
Iter = 5, 2.41826e-05
Iter = 6, 9.02986e-06
Iter = 7, 2.93563e-06
Iter = 8, 1.14417e-06
Iter = 9, 3.43131e-07
Iter = 10, 1.73678e-07
Iter = 11, 2.50195e-08
Iter = 12, 2.83795e-08
Iter = 13, 2.06239e-09
Iter = 14, 3.46937e-09
Iter = 15, 2.28403e-10
Iter = 16, 2.02227e-10
Iter = 17, 1.64846e-11
Iter = 18, 2.30019e-11
Iter = 19, 1.43233e-12
Iter = 20, 1.63459e-12
Iter = 21, 3.49026e-13
Iter = 22, 3.40955e-13
Iter = 23, 3.24193e-13
Iter = 24, 3.23622e-13
Iter = 25, 3.25198e-13
Iter = 26, 3.22754e-13
Iter = 27, 3.2275e-13
Iter = 28, 3.2434e-13
Iter = 29, 3.22505e-13
Iter = 30, 3.24258e-13
Iter = 31, 3.23839e-13
Iter = 32, 3.25647e-13
Iter = 33, 3.24304e-13
Iter = 34, 3.24329e-13
Iter = 35, 3.2252e-13
Iter = 36, 3.23162e-13
Iter = 37, 3.23031e-13
Iter = 38, 3.23664e-13
Iter = 39, 3.23308e-13
Iter = 40, 3.22918e-13
Iter = 41, 3.24115e-13
Iter = 42, 3.24926e-13
Iter = 43, 3.22711e-13
Iter = 44, 3.24993e-13
Iter = 45, 3.25245e-13
Iter = 46, 3.25369e-13
Iter = 47, 3.23736e-13
Iter = 48, 3.24118e-13
Iter = 49, 3.23629e-13
Iter = 50, 3.23687e-13
Iter = 51, 3.23133e-13
Iter = 52, 3.23829e-13
Iter = 53, 3.23995e-13
Iter = 54, 3.23825e-13
Iter = 55, 3.23489e-13
Iter = 56, 3.23395e-13
Iter = 57, 3.22975e-13
Iter = 58, 3.2267e-13
Iter = 59, 3.22932e-13
Iter = 60, 3.22376e-13
Iter = 61, 3.22769e-13
Iter = 62, 3.24253e-13
Iter = 63, 3.2424e-13
Iter = 64, 3.25268e-13
Iter = 65, 3.24286e-13
Iter = 66, 3.24038e-13
Iter = 67, 3.21948e-13
Iter = 68, 3.23058e-13
Iter = 69, 3.26448e-13
Iter = 70, 3.25137e-13
Iter = 71, 3.24871e-13
Iter = 72, 3.23735e-13
Iter = 73, 3.24161e-13
Iter = 74, 3.23506e-13
Iter = 75, 3.24717e-13
Iter = 76, 3.24593e-13
Iter = 77, 3.24425e-13
Iter = 78, 3.24842e-13
Iter = 79, 3.24539e-13
