Iter, Residual
0, 0.827133
1, 0.0050291
2, 0.00291271
3, 0.0020955
4, 0.00164807
5, 0.00136206
6, 0.00116294
7, 0.00101662
8, 0.000904795
9, 0.000816562
10, 0.000745033
11, 0.000685678
12, 0.000635433
13, 0.000592176
14, 0.000554405
15, 0.000521027
16, 0.000491234
17, 0.000464411
18, 0.000440084
19, 0.000417879
20, 0.000397495
21, 0.00037869
22, 0.000361264
23, 0.000345051
24, 0.000329913
25, 0.000315733
26, 0.000302413
27, 0.000289868
28, 0.000278025
29, 0.000266823
30, 0.000256206
31, 0.000246128
32, 0.000236546
33, 0.000227425
34, 0.000218732
35, 0.000210437
36, 0.000202516
37, 0.000194944
38, 0.000187701
39, 0.000180767
40, 0.000174126
41, 0.00016776
42, 0.000161656
43, 0.000155799
44, 0.000150178
45, 0.00014478
46, 0.000139595
47, 0.000134613
48, 0.000129824
49, 0.000125219
50, 0.000120791
51, 0.000116531
52, 0.000112432
53, 0.000108486
54, 0.000104688
55, 0.000101032
56, 9.75102e-05
57, 9.41184e-05
58, 9.08509e-05
59, 8.77027e-05
60, 8.4669e-05
61, 8.17452e-05
62, 7.89269e-05
63, 7.62101e-05
64, 7.35907e-05
65, 7.10649e-05
66, 6.86292e-05
67, 6.628e-05
68, 6.40141e-05
69, 6.18284e-05
70, 5.97197e-05
71, 5.76852e-05
72, 5.57222e-05
73, 5.38279e-05
74, 5.19998e-05
75, 5.02356e-05
76, 4.85327e-05
77, 4.6889e-05
78, 4.53023e-05
79, 4.37706e-05
