Iter, Residual
Iter = 0, 0.827133
Iter = 1, 4.08997e-05
Iter = 2, 4.14688e-06
Iter = 3, 9.51593e-07
Iter = 4, 3.7117e-07
Iter = 5, 1.54534e-07
Iter = 6, 6.46754e-08
Iter = 7, 2.70858e-08
Iter = 8, 1.13448e-08
Iter = 9, 4.75181e-09
Iter = 10, 1.99033e-09
Iter = 11, 8.33664e-10
Iter = 12, 3.49184e-10
Iter = 13, 1.46257e-10
Iter = 14, 6.12613e-11
Iter = 15, 2.56594e-11
Iter = 16, 1.07537e-11
Iter = 17, 4.51096e-12
Iter = 18, 1.91375e-12
Iter = 19, 8.55274e-13
Iter = 20, 4.62136e-13
Iter = 21, 3.53392e-13
Iter = 22, 3.30304e-13
Iter = 23, 3.24545e-13
Iter = 24, 3.22623e-13
Iter = 25, 3.2483e-13
Iter = 26, 3.24346e-13
Iter = 27, 3.25465e-13
Iter = 28, 3.25497e-13
Iter = 29, 3.22866e-13
Iter = 30, 3.22439e-13
Iter = 31, 3.21516e-13
Iter = 32, 3.23717e-13
Iter = 33, 3.24024e-13
Iter = 34, 3.22937e-13
Iter = 35, 3.24168e-13
Iter = 36, 3.2427e-13
Iter = 37, 3.22879e-13
Iter = 38, 3.2413e-13
Iter = 39, 3.24658e-13
Iter = 40, 3.23799e-13
Iter = 41, 3.24723e-13
Iter = 42, 3.23149e-13
Iter = 43, 3.22455e-13
Iter = 44, 3.22776e-13
Iter = 45, 3.24124e-13
Iter = 46, 3.24377e-13
Iter = 47, 3.23399e-13
Iter = 48, 3.21934e-13
Iter = 49, 3.22946e-13
Iter = 50, 3.24191e-13
Iter = 51, 3.23767e-13
Iter = 52, 3.24184e-13
Iter = 53, 3.25229e-13
Iter = 54, 3.23813e-13
Iter = 55, 3.24044e-13
Iter = 56, 3.22499e-13
Iter = 57, 3.24086e-13
Iter = 58, 3.22113e-13
Iter = 59, 3.21723e-13
Iter = 60, 3.2482e-13
Iter = 61, 3.2418e-13
Iter = 62, 3.23116e-13
Iter = 63, 3.2282e-13
Iter = 64, 3.23351e-13
Iter = 65, 3.24252e-13
Iter = 66, 3.24551e-13
Iter = 67, 3.22993e-13
Iter = 68, 3.25596e-13
Iter = 69, 3.2322e-13
Iter = 70, 3.24598e-13
Iter = 71, 3.23728e-13
Iter = 72, 3.24556e-13
Iter = 73, 3.25131e-13
Iter = 74, 3.22342e-13
Iter = 75, 3.21271e-13
Iter = 76, 3.22933e-13
Iter = 77, 3.23061e-13
Iter = 78, 3.23843e-13
Iter = 79, 3.23156e-13
